index,value
12460,204.6812462461976
12461,204.6723394494801
12462,204.6596291780137
12463,204.630288214852
12464,204.60716142188824
12465,204.5726991081265
12466,204.52678721031504
12467,204.4795278954691
12468,204.43870120915335
12469,204.40234203913585
12470,204.36740720241195
12471,204.34138814528467
12472,204.3223358433388
12473,204.28795214257667
12474,204.24055696166624
12475,204.1913220410575
12476,204.15862272596505
12477,204.13335645248705
12478,204.10641451118167
12479,204.0798691848328
12480,204.05349335368263
12481,204.04427071069827
12482,204.04342186267124
12483,204.03844090548552
12484,204.0459318359504
12485,204.04894391238813
12486,204.06392384030391
12487,204.07906313931696
12488,204.082201860973
12489,204.1014318963478
12490,204.11095568265452
12491,204.09817642709837
12492,204.07685223866957
12493,204.0462219111161
12494,204.0180141870921
12495,203.99793077981337
12496,203.9751450559628
12497,203.9471576112928
12498,203.9149147519345
12499,203.8917186541539
12500,203.85579160266644
12501,203.8270027522093
12502,203.78998987284825
12503,203.74822434283044
12504,203.70817282265384
12505,203.67235925397625
12506,203.6297262412791
12507,203.5897369154684
12508,203.5466843872517
12509,203.5215064619742
12510,203.49996345155355
12511,203.49561307244477
12512,203.48951182661875
12513,203.48424481591385
12514,203.46673463576505
12515,203.45833867880123
12516,203.47104651838976
12517,203.48636875921045
12518,203.49574821514253
12519,203.5051843386568
12520,203.5084095552885
12521,203.49325987876117
12522,203.4992374596108
12523,203.50857431237617
12524,203.52351594196472
12525,203.52899686275592
12526,203.52933935442928
12527,203.5337145475804
12528,203.5445804359261
12529,203.55351130349973
12530,203.52476852991387
12531,203.47422281392403
12532,203.44655044154084
12533,203.42280228975264
12534,203.4067501642308
12535,203.4097367687857
12536,203.41126394669752
12537,203.40799987502564
12538,203.4030009262059
12539,203.4022196164732
12540,203.40058485259345
12541,203.39575134303763
12542,203.39314755033556
12543,203.39962976794183
12544,203.40715528448416
12545,203.39392470374827
12546,203.36482044299777
12547,203.32992051789316
12548,203.3186551159401
12549,203.31620683944595
12550,203.29786364503772
12551,203.2752885599588
12552,203.24428046841908
12553,203.2201018331294
12554,203.2011642740237
12555,203.19950321871715
12556,203.1914257323012
12557,203.1843902905392
12558,203.18283425630287
12559,203.1902257882016
12560,203.1823405849925
12561,203.17935426838395
12562,203.17665700443777
12563,203.174006345421
12564,203.1637343272722
12565,203.137471637349
12566,203.11978942532605
12567,203.09201226134144
12568,203.0831874519573
12569,203.05865375458
12570,203.03799015853164
12571,203.0292625299962
12572,203.0196050722436
12573,203.0105127967614
12574,202.99230326185705
12575,202.97386679861992
12576,202.9516464600932
12577,202.9381048867397
12578,202.93706821454904
12579,202.9384543433756
12580,202.9518776101488
12581,202.95975025688676
12582,202.95968021375
12583,202.9598146745668
12584,202.9556743628117
12585,202.9452663825685
12586,202.9338906094459
12587,202.9121146419936
12588,202.88921736423544
12589,202.87335152986947
12590,202.85376810057235
12591,202.84091375433687
12592,202.8290664930752
12593,202.8092740489368
12594,202.79872600818203
12595,202.80384243291317
12596,202.8054877160901
12597,202.81988421070383
12598,202.842538735686
12599,202.8643853811975
12600,202.87994608816092
12601,202.90143766010104
12602,202.9119479843167
12603,202.92723594010576
12604,202.9450642118946
12605,202.9596326351277
12606,202.9662086971832
12607,202.9715591112181
12608,202.97881291185615
12609,202.98450870139624
12610,203.00009358386157
12611,203.0135809953381
12612,203.02185195883996
12613,203.0202784417065
12614,203.00766033672727
12615,203.0055449537295
12616,202.98485361756653
12617,202.96912672503436
12618,202.94519566376115
12619,202.936268652799
12620,202.93993013188896
12621,202.9380398015193
12622,202.94704975073208
12623,202.95073983223784
12624,202.9459762028227
12625,202.94579018317577
12626,202.93774111656984
12627,202.9416369032416
12628,202.93357393170112
12629,202.91666670381963
12630,202.9021595717399
12631,202.8873445070394
12632,202.87489243000013
12633,202.8770092832152
12634,202.8853758590685
12635,202.8924392653526
12636,202.89619503936527
12637,202.90101049878112
12638,202.8939910945534
12639,202.88429539560448
12640,202.87066825687967
12641,202.8721228631929
12642,202.87610326020143
12643,202.8857275433912
12644,202.88135338060263
12645,202.8715748133968
12646,202.8530863202276
12647,202.85492322305703
12648,202.85034998367948
12649,202.8434912094079
12650,202.8444532989626
12651,202.85553275553605
12652,202.8626846583339
12653,202.87190798573224
12654,202.89126233738017
12655,202.92073740957545
12656,202.93948698680884
12657,202.9492207200883
12658,202.94801858339252
12659,202.9530854364664
12660,202.9591275879196
12661,202.9661177925766
12662,202.9755019476062
12663,202.97824415182623
12664,202.98009793058475
12665,202.96999114602707
12666,202.9647932578456
12667,202.95918443110463
12668,202.94643852010532
12669,202.94467554822765
12670,202.94185622766568
12671,202.9340976965653
12672,202.9354860203861
12673,202.92901209585176
12674,202.92282372558216
12675,202.9165135990732
12676,202.92035732683493
12677,202.9129971836548
12678,202.90991883780032
12679,202.91681904730524
12680,202.9214438863843
12681,202.92202147750783
12682,202.91716815190077
12683,202.9055993379836
12684,202.88275233935596
12685,202.86438593997397
12686,202.84624883251072
12687,202.8448092576253
