mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
DiPCALSTM,r0p25,25,0.11904761904761904,0.0008143322475570033,7.5,2
DiPCALSTM,r0p25,30,0.125,0.0008347245409015025,7.5,2
LSTMGRU,r0p25,10,0.06930693069306931,0.0,5.0,6
LSTMGRU,r0p25,15,0.06578947368421052,0.0,6.0,4
LSTMGRU,r0p25,20,0.09259259259259259,0.0,6.0,4
LSTMGRU,r0p25,25,0.07142857142857142,0.0,6.0,3
LSTMGRU,r0p25,30,0.075,0.0,6.0,3
STAConvBiLSTM,r0p25,10,0.45544554455445546,0.012363636363636363,7.4399999999999995,25
STAConvBiLSTM,r0p25,15,0.4473684210526316,0.009969325153374233,7.5,16
STAConvBiLSTM,r0p25,20,0.4444444444444444,0.010317460317460317,8.181818181818182,11
STAConvBiLSTM,r0p25,25,0.47619047619047616,0.008957654723127036,8.666666666666666,9
STAConvBiLSTM,r0p25,30,0.475,0.008347245409015025,9.375,8
TCNTransformer,r0p25,10,0.49504950495049505,0.010181818181818183,7.173913043478261,23
TCNTransformer,r0p25,15,0.47368421052631576,0.009969325153374233,7.6875,16
TCNTransformer,r0p25,20,0.4444444444444444,0.010317460317460317,7.909090909090908,11
TCNTransformer,r0p25,25,0.5,0.007328990228013029,8.666666666666666,9
TCNTransformer,r0p25,30,0.5,0.007512520868113523,9.375,8
raw,r0p5,10,0.6435643564356436,0.02109090909090909,8.892857142857142,28
raw,r0p5,15,0.618421052631579,0.018404907975460124,9.0,18
raw,r0p5,20,0.5555555555555556,0.014285714285714285,8.538461538461538,13
raw,r0p5,25,0.5714285714285714,0.010586319218241042,8.7,10
raw,r0p5,30,0.575,0.01001669449081803,9.333333333333334,9
diff,r0p5,10,0.6336633663366337,0.01309090909090909,9.346153846153847,26
diff,r0p5,15,0.6447368421052632,0.010736196319018405,9.705882352941178,17
diff,r0p5,20,0.6481481481481481,0.00873015873015873,10.0,12
diff,r0p5,25,0.6904761904761905,0.005700325732899023,10.2,10
diff,r0p5,30,0.7,0.005008347245409015,11.0,9
diff2,r0p5,10,0.6831683168316832,0.07927272727272727,9.923076923076923,26
diff2,r0p5,15,0.6710526315789473,0.07668711656441718,11.0625,16
diff2,r0p5,20,0.7037037037037037,0.07301587301587302,11.5,12
diff2,r0p5,25,0.7380952380952381,0.07003257328990228,11.399999999999999,10
diff2,r0p5,30,0.75,0.07011686143572621,12.333333333333332,9
union,r0p5,10,0.7623762376237624,0.08072727272727273,10.666666666666666,27
union,r0p5,15,0.7236842105263158,0.07668711656441718,10.941176470588236,17
union,r0p5,20,0.7407407407407407,0.07301587301587302,11.5,12
